pcode,province,pvalue,catid,groupid,year,,,,,,,,
6,Louangprabang,570,23,1,2017,,,,,,,,
7,Houaphan,140,23,1,2017,,,,,,,,
8,Xayaboury,175,23,1,2017,,,,,,,,
1,Vientiane Capital,5,23,1,2017,,,,,,,,
9,Xiengkhouang,70,23,1,2017,,,,,,,,
10,Vienitiane,85,23,1,2017,,,,,,,,
11,Borlikhamxay,600,23,1,2017,,,,,,,,
12,Khammouane,55,23,1,2017,,,,,,,,
13,Savannakhet,340,23,1,2017,,,,,,,,
18,Xaisomboun,140,23,1,2017,,,,,,,,
14,Saravan,10,23,1,2017,,,,,,,,
15,Xekong,150,23,1,2017,,,,,,,,
16,Champassak,0,23,1,2017,,,,,,,,
17,Attapue,30,23,1,2017,,,,,,,,
2,Phongsaly,0,24,1,2017,,,,,,,,
3,Louangnamtha,70,24,1,2017,,,,,,,,
4,Oudomxai,55,24,1,2017,,,,,,,,
5,Bokeo,0,24,1,2017,,,,,,,,
6,Louangprabang,420,24,1,2017,,,,,,,,
7,Houaphan,35,24,1,2017,,,,,,,,
8,Xayaboury,0,24,1,2017,,,,,,,,
1,Vientiane Capital,125,24,1,2017,,,,,,,,
9,Xiengkhouang,40,24,1,2017,,,,,,,,
10,Vienitiane,445,24,1,2017,,,,,,,,
11,Borlikhamxay,255,24,1,2017,,,,,,,,
12,Khammouane,215,24,1,2017,,,,,,,,
13,Savannakhet,380,24,1,2017,,,,,,,,
18,Xaisomboun,0,24,1,2017,,,,,,,,
14,Saravan,0,24,1,2017,,,,,,,,
15,Xekong,45,24,1,2017,,,,,,,,
16,Champassak,0,24,1,2017,,,,,,,,
17,Attapue,0,24,1,2017,,,,,,,,
2,Phongsaly,15,25,1,2017,,,,,,,,
3,Louangnamtha,575,25,1,2017,,,,,,,,
4,Oudomxai,245,25,1,2017,,,,,,,,
5,Bokeo,400,25,1,2017,,,,,,,,
6,Louangprabang,215,25,1,2017,,,,,,,,
7,Houaphan,135,25,1,2017,,,,,,,,
8,Xayaboury,830,25,1,2017,,,,,,,,
1,Vientiane Capital,395,25,1,2017,,,,,,,,
9,Xiengkhouang,255,25,1,2017,,,,,,,,
10,Vienitiane,485,25,1,2017,,,,,,,,
11,Borlikhamxay,275,25,1,2017,,,,,,,,
12,Khammouane,380,25,1,2017,,,,,,,,
13,Savannakhet,1885,25,1,2017,,,,,,,,
18,Xaisomboun,20,25,1,2017,,,,,,,,
14,Saravan,170,25,1,2017,,,,,,,,
15,Xekong,50,25,1,2017,,,,,,,,
16,Champassak,640,25,1,2017,,,,,,,,
17,Attapue,50,25,1,2017,,,,,,,,
2,Phongsaly,0,26,1,2017,,,,,,,,
3,Louangnamtha,0,26,1,2017,,,,,,,,
4,Oudomxai,0,26,1,2017,,,,,,,,
5,Bokeo,0,26,1,2017,,,,,,,,
6,Louangprabang,285,26,1,2017,,,,,,,,
7,Houaphan,80,26,1,2017,,,,,,,,
8,Xayaboury,0,26,1,2017,,,,,,,,
1,Vientiane Capital,385,26,1,2017,,,,,,,,
9,Xiengkhouang,100,26,1,2017,,,,,,,,
10,Vienitiane,0,26,1,2017,,,,,,,,
11,Borlikhamxay,0,26,1,2017,,,,,,,,
12,Khammouane,100,26,1,2017,,,,,,,,
13,Savannakhet,0,26,1,2017,,,,,,,,
18,Xaisomboun,55,26,1,2017,,,,,,,,
14,Saravan,300,26,1,2017,,,,,,,,
15,Xekong,70,26,1,2017,,,,,,,,
16,Champassak,0,26,1,2017,,,,,,,,
17,Attapue,0,26,1,2017,,,,,,,,
2,Phongsaly,85,27,1,2017,,,,,,,,
3,Louangnamtha,35,27,1,2017,,,,,,,,
4,Oudomxai,95,27,1,2017,,,,,,,,
5,Bokeo,0,27,1,2017,,,,,,,,
6,Louangprabang,390,27,1,2017,,,,,,,,
7,Houaphan,0,27,1,2017,,,,,,,,
8,Xayaboury,0,27,1,2017,,,,,,,,
1,Vientiane Capital,90,27,1,2017,,,,,,,,
9,Xiengkhouang,0,27,1,2017,,,,,,,,
10,Vienitiane,0,27,1,2017,,,,,,,,
11,Borlikhamxay,0,27,1,2017,,,,,,,,
12,Khammouane,0,27,1,2017,,,,,,,,
13,Savannakhet,0,27,1,2017,,,,,,,,
18,Xaisomboun,10,27,1,2017,,,,,,,,
14,Saravan,0,27,1,2017,,,,,,,,
15,Xekong,0,27,1,2017,,,,,,,,
16,Champassak,0,27,1,2017,,,,,,,,
17,Attapue,0,27,1,2017,,,,,,,,
2,Phongsaly,1035,1,2,2017,,,,,,,,
3,Louangnamtha,0,1,2,2017,,,,,,,,
4,Oudomxai,420,1,2,2017,,,,,,,,
5,Bokeo,0,1,2,2017,,,,,,,,
6,Louangprabang,1535,1,2,2017,,,,,,,,
7,Houaphan,160,1,2,2017,,,,,,,,
8,Xayaboury,0,1,2,2017,,,,,,,,
1,Vientiane Capital,0,1,2,2017,,,,,,,,
9,Xiengkhouang,370,1,2,2017,,,,,,,,
10,Vienitiane,0,1,2,2017,,,,,,,,
11,Borlikhamxay,0,1,2,2017,,,,,,,,
12,Khammouane,0,1,2,2017,,,,,,,,
13,Savannakhet,0,1,2,2017,,,,,,,,
18,Xaisomboun,0,1,2,2017,,,,,,,,
14,Saravan,18945,1,2,2017,,,,,,,,
15,Xekong,11365,1,2,2017,,,,,,,,
16,Champassak,45730,1,2,2017,,,,,,,,
17,Attapue,1330,1,2,2017,,,,,,,,
2,Phongsaly,8685,2,2,2017,,,,,,,,
3,Louangnamtha,0,2,2,2017,,,,,,,,
4,Oudomxai,0,2,2,2017,,,,,,,,
5,Bokeo,0,2,2,2017,,,,,,,,
6,Louangprabang,0,2,2,2017,,,,,,,,
7,Houaphan,475,2,2,2017,,,,,,,,
8,Xayaboury,0,2,2,2017,,,,,,,,
1,Vientiane Capital,0,2,2,2017,,,,,,,,
9,Xiengkhouang,0,2,2,2017,,,,,,,,
10,Vienitiane,0,2,2,2017,,,,,,,,
11,Borlikhamxay,0,2,2,2017,,,,,,,,
12,Khammouane,0,2,2,2017,,,,,,,,
13,Savannakhet,0,2,2,2017,,,,,,,,
18,Xaisomboun,0,2,2,2017,,,,,,,,
14,Saravan,1065,2,2,2017,,,,,,,,
15,Xekong,1050,2,2,2017,,,,,,,,
16,Champassak,3280,2,2,2017,,,,,,,,
17,Attapue,700,2,2,2017,,,,,,,,
2,Phongsaly,2205,3,2,2017,,,,,,,,
3,Louangnamtha,30,3,2,2017,,,,,,,,
4,Oudomxai,60,3,2,2017,,,,,,,,
5,Bokeo,0,3,2,2017,,,,,,,,
6,Louangprabang,785,3,2,2017,,,,,,,,
7,Houaphan,160,3,2,2017,,,,,,,,
8,Xayaboury,0,3,2,2017,,,,,,,,
1,Vientiane Capital,0,3,2,2017,,,,,,,,
9,Xiengkhouang,290,3,2,2017,,,,,,,,
10,Vienitiane,0,3,2,2017,,,,,,,,
11,Borlikhamxay,0,3,2,2017,,,,,,,,
12,Khammouane,0,3,2,2017,,,,,,,,
13,Savannakhet,0,3,2,2017,,,,,,,,
18,Xaisomboun,0,3,2,2017,,,,,,,,
14,Saravan,0,3,2,2017,,,,,,,,
15,Xekong,0,3,2,2017,,,,,,,,
16,Champassak,460,3,2,2017,,,,,,,,
17,Attapue,0,3,2,2017,,,,,,,,
2,Phongsaly,4565,4,2,2017,,,,,,,,
3,Louangnamtha,1440,4,2,2017,,,,,,,,
4,Oudomxai,53450,4,2,2017,,,,,,,,
5,Bokeo,1550,4,2,2017,,,,,,,,
6,Louangprabang,10340,4,2,2017,,,,,,,,
7,Houaphan,9140,4,2,2017,,,,,,,,
8,Xayaboury,60395,4,2,2017,,,,,,,,
1,Vientiane Capital,1000,4,2,2017,,,,,,,,
9,Xiengkhouang,20880,4,2,2017,,,,,,,,
10,Vienitiane,6070,4,2,2017,,,,,,,,
11,Borlikhamxay,1560,4,2,2017,,,,,,,,
12,Khammouane,5,4,2,2017,,,,,,,,
13,Savannakhet,0,4,2,2017,,,,,,,,
18,Xaisomboun,535,4,2,2017,,,,,,,,
14,Saravan,2170,4,2,2017,,,,,,,,
15,Xekong,1170,4,2,2017,,,,,,,,
16,Champassak,1450,4,2,2017,,,,,,,,
17,Attapue,410,4,2,2017,,,,,,,,
2,Phongsaly,3000,5,2,2017,,,,,,,,
3,Louangnamtha,350,5,2,2017,,,,,,,,
4,Oudomxai,2870,5,2,2017,,,,,,,,
5,Bokeo,45,5,2,2017,,,,,,,,
6,Louangprabang,3040,5,2,2017,,,,,,,,
7,Houaphan,600,5,2,2017,,,,,,,,
8,Xayaboury,1250,5,2,2017,,,,,,,,
1,Vientiane Capital,755,5,2,2017,,,,,,,,
9,Xiengkhouang,325,5,2,2017,,,,,,,,
10,Vienitiane,3525,5,2,2017,,,,,,,,
11,Borlikhamxay,1280,5,2,2017,,,,,,,,
12,Khammouane,1675,5,2,2017,,,,,,,,
13,Savannakhet,4730,5,2,2017,,,,,,,,
18,Xaisomboun,155,5,2,2017,,,,,,,,
14,Saravan,1655,5,2,2017,,,,,,,,
15,Xekong,1130,5,2,2017,,,,,,,,
16,Champassak,4155,5,2,2017,,,,,,,,
17,Attapue,520,5,2,2017,,,,,,,,
2,Phongsaly,230,6,2,2017,,,,,,,,
3,Louangnamtha,60,6,2,2017,,,,,,,,
4,Oudomxai,1065,6,2,2017,,,,,,,,
5,Bokeo,185,6,2,2017,,,,,,,,
6,Louangprabang,350,6,2,2017,,,,,,,,
7,Houaphan,490,6,2,2017,,,,,,,,
8,Xayaboury,75,6,2,2017,,,,,,,,
1,Vientiane Capital,0,6,2,2017,,,,,,,,
9,Xiengkhouang,180,6,2,2017,,,,,,,,
10,Vienitiane,5,6,2,2017,,,,,,,,
11,Borlikhamxay,15,6,2,2017,,,,,,,,
12,Khammouane,0,6,2,2017,,,,,,,,
13,Savannakhet,0,6,2,2017,,,,,,,,
18,Xaisomboun,50,6,2,2017,,,,,,,,
14,Saravan,95,6,2,2017,,,,,,,,
15,Xekong,5,6,2,2017,,,,,,,,
16,Champassak,1450,6,2,2017,,,,,,,,
17,Attapue,0,6,2,2017,,,,,,,,
2,Phongsaly,70,7,2,2017,,,,,,,,
3,Louangnamtha,35,7,2,2017,,,,,,,,
4,Oudomxai,0,7,2,2017,,,,,,,,
5,Bokeo,260,7,2,2017,,,,,,,,
6,Louangprabang,0,7,2,2017,,,,,,,,
7,Houaphan,0,7,2,2017,,,,,,,,
8,Xayaboury,310,7,2,2017,,,,,,,,
1,Vientiane Capital,275,7,2,2017,,,,,,,,
9,Xiengkhouang,45,7,2,2017,,,,,,,,
10,Vienitiane,360,7,2,2017,,,,,,,,
11,Borlikhamxay,50,7,2,2017,,,,,,,,
12,Khammouane,0,7,2,2017,,,,,,,,
13,Savannakhet,0,7,2,2017,,,,,,,,
18,Xaisomboun,0,7,2,2017,,,,,,,,
14,Saravan,0,7,2,2017,,,,,,,,
15,Xekong,5,7,2,2017,,,,,,,,
16,Champassak,725,7,2,2017,,,,,,,,
17,Attapue,25,7,2,2017,,,,,,,,
2,Phongsaly,1360,8,2,2017,,,,,,,,
3,Louangnamtha,145,8,2,2017,,,,,,,,
4,Oudomxai,1520,8,2,2017,,,,,,,,
5,Bokeo,415,8,2,2017,,,,,,,,
6,Louangprabang,1050,8,2,2017,,,,,,,,
7,Houaphan,335,8,2,2017,,,,,,,,
8,Xayaboury,4440,8,2,2017,,,,,,,,
1,Vientiane Capital,155,8,2,2017,,,,,,,,
9,Xiengkhouang,405,8,2,2017,,,,,,,,
10,Vienitiane,1165,8,2,2017,,,,,,,,
11,Borlikhamxay,1205,8,2,2017,,,,,,,,
12,Khammouane,240,8,2,2017,,,,,,,,
13,Savannakhet,1820,8,2,2017,,,,,,,,
18,Xaisomboun,35,8,2,2017,,,,,,,,
14,Saravan,1070,8,2,2017,,,,,,,,
15,Xekong,645,8,2,2017,,,,,,,,
16,Champassak,2855,8,2,2017,,,,,,,,
17,Attapue,30,8,2,2017,,,,,,,,
2,Phongsaly,0,9,2,2017,,,,,,,,
3,Louangnamtha,15,9,2,2017,,,,,,,,
4,Oudomxai,0,9,2,2017,,,,,,,,
5,Bokeo,0,9,2,2017,,,,,,,,
6,Louangprabang,155,9,2,2017,,,,,,,,
7,Houaphan,0,9,2,2017,,,,,,,,
8,Xayaboury,1440,9,2,2017,,,,,,,,
1,Vientiane Capital,10,9,2,2017,,,,,,,,
9,Xiengkhouang,0,9,2,2017,,,,,,,,
10,Vienitiane,15,9,2,2017,,,,,,,,
11,Borlikhamxay,10,9,2,2017,,,,,,,,
12,Khammouane,0,9,2,2017,,,,,,,,
13,Savannakhet,0,9,2,2017,,,,,,,,
18,Xaisomboun,0,9,2,2017,,,,,,,,
14,Saravan,0,9,2,2017,,,,,,,,
15,Xekong,0,9,2,2017,,,,,,,,
16,Champassak,485,9,2,2017,,,,,,,,
17,Attapue,0,9,2,2017,,,,,,,,
2,Phongsaly,0,10,2,2017,,,,,,,,
3,Louangnamtha,55,10,2,2017,,,,,,,,
4,Oudomxai,310,10,2,2017,,,,,,,,
5,Bokeo,10,10,2,2017,,,,,,,,
6,Louangprabang,285,10,2,2017,,,,,,,,
7,Houaphan,40,10,2,2017,,,,,,,,
8,Xayaboury,350,10,2,2017,,,,,,,,
1,Vientiane Capital,105,10,2,2017,,,,,,,,
9,Xiengkhouang,150,10,2,2017,,,,,,,,
10,Vienitiane,335,10,2,2017,,,,,,,,
11,Borlikhamxay,670,10,2,2017,,,,,,,,
12,Khammouane,720,10,2,2017,,,,,,,,
13,Savannakhet,1225,10,2,2017,,,,,,,,
18,Xaisomboun,0,10,2,2017,,,,,,,,
14,Saravan,80,10,2,2017,,,,,,,,
15,Xekong,110,10,2,2017,,,,,,,,
16,Champassak,105,10,2,2017,,,,,,,,
17,Attapue,30,10,2,2017,,,,,,,,
2,Phongsaly,55,11,2,2017,,,,,,,,
3,Louangnamtha,40,11,2,2017,,,,,,,,
4,Oudomxai,115,11,2,2017,,,,,,,,
5,Bokeo,0,11,2,2017,,,,,,,,
6,Louangprabang,65,11,2,2017,,,,,,,,
7,Houaphan,150,11,2,2017,,,,,,,,
8,Xayaboury,285,11,2,2017,,,,,,,,
1,Vientiane Capital,0,11,2,2017,,,,,,,,
9,Xiengkhouang,0,11,2,2017,,,,,,,,
10,Vienitiane,0,11,2,2017,,,,,,,,
11,Borlikhamxay,0,11,2,2017,,,,,,,,
12,Khammouane,5,11,2,2017,,,,,,,,
13,Savannakhet,710,11,2,2017,,,,,,,,
18,Xaisomboun,0,11,2,2017,,,,,,,,
14,Saravan,380,11,2,2017,,,,,,,,
15,Xekong,35,11,2,2017,,,,,,,,
16,Champassak,5,11,2,2017,,,,,,,,
17,Attapue,0,11,2,2017,,,,,,,,
2,Phongsaly,1425,12,2,2017,,,,,,,,
3,Louangnamtha,3095,12,2,2017,,,,,,,,
4,Oudomxai,480,12,2,2017,,,,,,,,
5,Bokeo,0,12,2,2017,,,,,,,,
6,Louangprabang,445,12,2,2017,,,,,,,,
7,Houaphan,195,12,2,2017,,,,,,,,
8,Xayaboury,145,12,2,2017,,,,,,,,
1,Vientiane Capital,275,12,2,2017,,,,,,,,
9,Xiengkhouang,80,12,2,2017,,,,,,,,
10,Vienitiane,160,12,2,2017,,,,,,,,
11,Borlikhamxay,760,12,2,2017,,,,,,,,
12,Khammouane,570,12,2,2017,,,,,,,,
13,Savannakhet,15695,12,2,2017,,,,,,,,
18,Xaisomboun,50,12,2,2017,,,,,,,,
14,Saravan,70,12,2,2017,,,,,,,,
15,Xekong,215,12,2,2017,,,,,,,,
16,Champassak,515,12,2,2017,,,,,,,,
17,Attapue,5350,12,2,2017,,,,,,,,
2,Phongsaly,275,13,2,2017,,,,,,,,
3,Louangnamtha,190,13,2,2017,,,,,,,,
4,Oudomxai,7160,13,2,2017,,,,,,,,
5,Bokeo,3180,13,2,2017,,,,,,,,
6,Louangprabang,13495,13,2,2017,,,,,,,,
7,Houaphan,825,13,2,2017,,,,,,,,
8,Xayaboury,35980,13,2,2017,,,,,,,,
1,Vientiane Capital,210,13,2,2017,,,,,,,,
9,Xiengkhouang,0,13,2,2017,,,,,,,,
10,Vienitiane,15370,13,2,2017,,,,,,,,
11,Borlikhamxay,5,13,2,2017,,,,,,,,
12,Khammouane,20,13,2,2017,,,,,,,,
13,Savannakhet,0,13,2,2017,,,,,,,,
18,Xaisomboun,10,13,2,2017,,,,,,,,
14,Saravan,0,13,2,2017,,,,,,,,
15,Xekong,40,13,2,2017,,,,,,,,
16,Champassak,0,13,2,2017,,,,,,,,
17,Attapue,0,13,2,2017,,,,,,,,
2,Phongsaly,1280,14,2,2017,,,,,,,,
3,Louangnamtha,170,14,2,2017,,,,,,,,
4,Oudomxai,4385,14,2,2017,,,,,,,,
5,Bokeo,440,14,2,2017,,,,,,,,
6,Louangprabang,3985,14,2,2017,,,,,,,,
7,Houaphan,55,14,2,2017,,,,,,,,
8,Xayaboury,2505,14,2,2017,,,,,,,,
1,Vientiane Capital,0,14,2,2017,,,,,,,,
9,Xiengkhouang,80,14,2,2017,,,,,,,,
10,Vienitiane,30,14,2,2017,,,,,,,,
11,Borlikhamxay,35,14,2,2017,,,,,,,,
12,Khammouane,15,14,2,2017,,,,,,,,
13,Savannakhet,0,14,2,2017,,,,,,,,
18,Xaisomboun,5,14,2,2017,,,,,,,,
14,Saravan,0,14,2,2017,,,,,,,,
15,Xekong,40,14,2,2017,,,,,,,,
16,Champassak,0,14,2,2017,,,,,,,,
17,Attapue,15,14,2,2017,,,,,,,,
2,Phongsaly,535,15,2,2017,,,,,,,,
3,Louangnamtha,1570,15,2,2017,,,,,,,,
4,Oudomxai,0,15,2,2017,,,,,,,,
5,Bokeo,0,15,2,2017,,,,,,,,
6,Louangprabang,2215,15,2,2017,,,,,,,,
7,Houaphan,1380,15,2,2017,,,,,,,,
8,Xayaboury,15120,15,2,2017,,,,,,,,
1,Vientiane Capital,1215,15,2,2017,,,,,,,,
9,Xiengkhouang,1140,15,2,2017,,,,,,,,
10,Vienitiane,5250,15,2,2017,,,,,,,,
11,Borlikhamxay,7770,15,2,2017,,,,,,,,
12,Khammouane,1780,15,2,2017,,,,,,,,
13,Savannakhet,2815,15,2,2017,,,,,,,,
18,Xaisomboun,545,15,2,2017,,,,,,,,
14,Saravan,16020,15,2,2017,,,,,,,,
15,Xekong,2125,15,2,2017,,,,,,,,
16,Champassak,10585,15,2,2017,,,,,,,,
17,Attapue,865,15,2,2017,,,,,,,,
2,Phongsaly,495,16,2,2017,,,,,,,,
3,Louangnamtha,135,16,2,2017,,,,,,,,
4,Oudomxai,310,16,2,2017,,,,,,,,
5,Bokeo,0,16,2,2017,,,,,,,,
6,Louangprabang,95,16,2,2017,,,,,,,,
7,Houaphan,130,16,2,2017,,,,,,,,
8,Xayaboury,110,16,2,2017,,,,,,,,
1,Vientiane Capital,20,16,2,2017,,,,,,,,
9,Xiengkhouang,75,16,2,2017,,,,,,,,
10,Vienitiane,280,16,2,2017,,,,,,,,
11,Borlikhamxay,395,16,2,2017,,,,,,,,
12,Khammouane,295,16,2,2017,,,,,,,,
13,Savannakhet,640,16,2,2017,,,,,,,,
18,Xaisomboun,20,16,2,2017,,,,,,,,
14,Saravan,875,16,2,2017,,,,,,,,
15,Xekong,85,16,2,2017,,,,,,,,
16,Champassak,1925,16,2,2017,,,,,,,,
17,Attapue,0,16,2,2017,,,,,,,,
2,Phongsaly,15,17,2,2017,,,,,,,,
3,Louangnamtha,0,17,2,2017,,,,,,,,
4,Oudomxai,0,17,2,2017,,,,,,,,
5,Bokeo,0,17,2,2017,,,,,,,,
6,Louangprabang,0,17,2,2017,,,,,,,,
7,Houaphan,0,17,2,2017,,,,,,,,
8,Xayaboury,0,17,2,2017,,,,,,,,
1,Vientiane Capital,0,17,2,2017,,,,,,,,
9,Xiengkhouang,0,17,2,2017,,,,,,,,
10,Vienitiane,0,17,2,2017,,,,,,,,
11,Borlikhamxay,0,17,2,2017,,,,,,,,
12,Khammouane,0,17,2,2017,,,,,,,,
13,Savannakhet,0,17,2,2017,,,,,,,,
18,Xaisomboun,0,17,2,2017,,,,,,,,
14,Saravan,0,17,2,2017,,,,,,,,
15,Xekong,0,17,2,2017,,,,,,,,
16,Champassak,55,17,2,2017,,,,,,,,
17,Attapue,0,17,2,2017,,,,,,,,
2,Phongsaly,0,18,2,2017,,,,,,,,
3,Louangnamtha,60,18,2,2017,,,,,,,,
4,Oudomxai,325,18,2,2017,,,,,,,,
5,Bokeo,0,18,2,2017,,,,,,,,
6,Louangprabang,40,18,2,2017,,,,,,,,
7,Houaphan,0,18,2,2017,,,,,,,,
8,Xayaboury,30,18,2,2017,,,,,,,,
1,Vientiane Capital,140,18,2,2017,,,,,,,,
9,Xiengkhouang,0,18,2,2017,,,,,,,,
10,Vienitiane,215,18,2,2017,,,,,,,,
11,Borlikhamxay,200,18,2,2017,,,,,,,,
12,Khammouane,130,18,2,2017,,,,,,,,
13,Savannakhet,290,18,2,2017,,,,,,,,
18,Xaisomboun,5,18,2,2017,,,,,,,,
14,Saravan,0,18,2,2017,,,,,,,,
15,Xekong,0,18,2,2017,,,,,,,,
16,Champassak,0,18,2,2017,,,,,,,,
17,Attapue,0,18,2,2017,,,,,,,,
2,Phongsaly,600,19,2,2017,,,,,,,,
3,Louangnamtha,175,19,2,2017,,,,,,,,
4,Oudomxai,1310,19,2,2017,,,,,,,,
5,Bokeo,185,19,2,2017,,,,,,,,
